Provincia,Nº de lista,Agrupación,__sheet__,Agrupación nacional (filo)
BUENOS AIRES,47,COALICIÓN CÍVICA A.R.I.,BUENOS AIRES,Otro/Local
BUENOS AIRES,95,FRENTE PATRIOTA FEDERAL,BUENOS AIRES,Otro/Local
BUENOS AIRES,153,UNIÓN LIBERAL,BUENOS AIRES,Otro/Local
BUENOS AIRES,221,PARTIDO NUEVO BUENOS AIRES,BUENOS AIRES,Otro/Local
BUENOS AIRES,276,MOVIMIENTO AVANZADA SOCIALISTA,BUENOS AIRES,Otro/Local
BUENOS AIRES,299,PROPUESTA FEDERAL PARA EL CAMBIO,BUENOS AIRES,Otro/Local
BUENOS AIRES,305,MOV. POL. SOC. Y CULTURAL PROYECTO SUR,BUENOS AIRES,Otro/Local
BUENOS AIRES,318,LIBER.AR,BUENOS AIRES,Otro/Local
BUENOS AIRES,501,ALIANZA UNIÓN FEDERAL,BUENOS AIRES,UNIÓN FEDERAL
BUENOS AIRES,502,ALIANZA NUEVOS AIRES,BUENOS AIRES,Otro/Local
BUENOS AIRES,503,ALIANZA LA LIBERTAD AVANZA,BUENOS AIRES,LA LIBERTAD AVANZA
BUENOS AIRES,504,ALIANZA POTENCIA,BUENOS AIRES,POTENCIA
BUENOS AIRES,506,FRENTE DE IZQUIERDA - UNIDAD -,BUENOS AIRES,FRENTE DE IZQUIERDA
BUENOS AIRES,507,ALIANZA FUERZA PATRIA,BUENOS AIRES,FUERZA PATRIA
BUENOS AIRES,508,ALIANZA PROVINCIAS UNIDAS,BUENOS AIRES,PROVINCIAS UNIDAS
CABA,20,UNIÓN DEL CENTRO DEMOCRÁTICO,CABA,UNIÓN DEL CENTRO DEMOCRÁTICO
CABA,69,GEN,CABA,PROVINCIAS UNIDAS
CABA,350,LA IZQUIERDA EN LA CIUDAD,CABA,MOVIMIENTO AL SOCIALISMO
CABA,502,ALIANZA POTENCIA,CABA,POTENCIA
CABA,505,HAGAMOS FUTURO,CABA,COALICIÓN CÍVICA ARI
CABA,501,ALIANZA LA LIBERTAD AVANZA,CABA,LA LIBERTAD AVANZA
CABA,8,PARTIDO FEDERAL,CABA,NUEVOS AIRES
CABA,348,INTEGRAR,CABA,NUEVOS AIRES
CABA,352,MOVIMIENTO PLURAL,CABA,MOVIMIENTO PLURAL
CABA,503,FUERZA PATRIA,CABA,FUERZA PATRIA
CABA,506,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,CABA,FRENTE DE IZQUIERDA
CABA,504,CIUDADANOS UNIDOS,CABA,PROVINCIAS UNIDAS
CABA,95,FRENTE PATRIOTA FEDERAL,CABA,FRENTE PATRIOTA FEDERAL
CABA,184,PARTIDO SOCIALISTA AUTÉNTICO,CABA,PARTIDO SOCIALISTA AUTÉNTICO
CABA,314,PARTIDO COMUNISTA,CABA,PARTIDO COMUNISTA
CABA,343,MOVIMIENTO DE JUBILADOS Y JUVENTUD,CABA,MOVIMIENTO DE JUBILADOS Y JUVENTUD
CABA,72,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR,CABA,FUERZA PATRIA
Tucumán,504,Unidos por Tucumán,Tucumán,Otro/Local
Tucumán,501,Frente Tucumán Primero,Tucumán,Otro/Local
Tucumán,502,Alianza La Libertad Avanza,Tucumán,La Libertad Avanza
Tucumán,170,Frente del Pueblo Unido,Tucumán,Otro/Local
Tucumán,181,Fuerza Republicana,Tucumán,Otro/Local
Tucumán,222,Política para la Clase Obrera,Tucumán,Otro/Local
